channel_id,public_name,genre,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes,total_subscribers,views_subs,likes_dislikes
UCvpHzqdDr1zvtaW8BaVegzw,oficialzodiacs,rock,16.0,25.0,3.0,0.0,0.0,0.0,22,5.333333333333333,0.0
UCYXCt3TYSfZHgxjXUVN8wTA,JXN,pop,9571.0,17124.0,665.0,10.0,238.0,11.0,9380,14.392481203007518,21.636363636363637
UChOQUXRRV04p9nDJmfuX9pA,Navet,dance,285.0,381.0,1.0,0.0,5.0,0.0,28,285.0,0.0
UCHpttVC36T04Tt6CFTk04xg,chiodos,metal,4808.0,4914.0,4435.0,9.0,84.0,4.0,31100,1.0841037204058626,21.0
UCnSR7_Oq-MdsZxfogsfk-Ug,Tommy Boy,urban,522052670.0,1463708327.0,677196.0,137116.0,5014420.0,151296.0,1970000,770.9033573736407,33.14311019458545
UCBbNLJYfHtvr0oL6KGTD5Jg,JamesBluntVideos,pop,116788.0,236762.0,10.0,95.0,1846.0,29.0,1920,11678.8,63.6551724137931
UCTTLucQxeyeIVN2wvoq4VKA,Just Good Entertainment,pop,127711.0,385581.0,192.0,36.0,854.0,23.0,2940,665.1614583333334,37.130434782608695
UC0YlhwQabxkHb2nfRTzsTTA,Galantis,dance,114312913.0,264817931.0,236301.0,48737.0,1374339.0,43679.0,3540000,483.75975133410356,31.46452528675107
UCoGbSChtzhQ4r1toYPmeiSA,Hayley Williams,pop,9412769.0,24265846.0,73510.0,10897.0,248371.0,2603.0,415000,128.04746293021358,95.4172109104879
UCQWrm870Bjve47na1kpRC8A,Libatiba Kinderlieder,pop,260686.0,519529.0,403.0,0.0,778.0,310.0,830,646.863523573201,2.509677419354839
UCv7lvPHrCG7TbnzUMdyF_hw,Edyta Bartosiewicz,pop,0.0,0.0,6.0,0.0,0.0,0.0,892,0.0,0.0
UCa6SeA6ndz5qCDKe9i8Uz2w,Antonio Rico,urban,0.0,0.0,86.0,0.0,0.0,0.0,2980,0.0,0.0
UClKo_3cywEwAUssQlgj4zTw,NeverTheStrangers,pop,186894.0,472934.0,1086.0,301.0,1825.0,37.0,11000,172.0939226519337,49.32432432432432
UCEiMth-oNMR8W9l7eyXrnyg,kawakamidaisukeTV,pop,7486.0,18233.0,50.0,4.0,35.0,5.0,505,149.72,7.0
UCbZZxHNd2xuy6oJw3lM11sg,The Darcys,pop,398857.0,798824.0,553.0,128.0,1465.0,67.0,2530,721.2603978300181,21.865671641791046
UCtcCOffN9YQdP6ntldTrsjg,MudcrutchMusic,rock,278408.0,937203.0,822.0,108.0,2620.0,179.0,5490,338.69586374695865,14.636871508379889
UC8_4ZdprsI28CvLr_nbBDHw,Smolasty,urban,107816340.0,230129585.0,174082.0,26974.0,1078626.0,106929.0,684000,619.3422639905332,10.087310271301519
UC1qOCLTkxjoNo1zbcFCPG7g,XiuXiuForLife,rock,508849.0,1146846.0,8319.0,949.0,19976.0,263.0,17600,61.16708739031134,75.95437262357414
UCaJcr5F3KupZHec-5CGRV0A,White Reaper,rock,651824.0,1778951.0,2276.0,304.0,6686.0,403.0,12100,286.39015817223196,16.590570719602976
UCvqi_H233DRcm9t2axrIKnw,OPENSIDE,pop,39886.0,77995.0,361.0,10.0,432.0,41.0,5480,110.48753462603878,10.536585365853659
UCY5y3Lg1fliZ5QDP6rvi2Mg,Adi Kowalski,pop,,,,,,,77,0.0,0.0
UC6aiCXg-0lUI19zJFrXpg6w,Alvaro Laguna,rock,111.0,245.0,2.0,0.0,1.0,0.0,22,55.5,0.0
UCbVdcdBeOBReaB_AoeOW2hg,Cukierki,dance,19477.0,43439.0,96.0,11.0,186.0,10.0,1770,202.88541666666666,18.6
UCYVUwUWeq7G5ogRGCuHVmxg,Carminho,latin,644307.0,1708383.0,4981.0,221.0,8703.0,198.0,33400,129.35294117647058,43.95454545454545
UCTGvupQMw-IokKJ6U9zFgjQ,Shoreline Mafia,urban,140639463.0,312591920.0,179846.0,11662.0,980595.0,30132.0,1140000,781.9993939259144,32.54330943847073
UCRKBOPAbUEumhOJW9PlKAhw,Mallory Merk,rock,673864.0,1422690.0,913.0,289.0,2579.0,172.0,1940,738.0766703176341,14.994186046511627
UCow6kMXkOlu6VY9uOE5lTxg,Lil James,urban,13266.0,23915.0,136.0,12.0,223.0,7.0,1790,97.54411764705883,31.857142857142858
UCLkwcZLUexrl-BTvfwxyYjQ,Lyrics On Lock - Urban,urban,9175191.0,20199356.0,17366.0,2743.0,180287.0,6013.0,64800,528.3422204307267,29.982870447364043
UCUQ3N8hKKJk_Wnbb2dsYUGg,Wally Lopez,dance,460245.0,1147895.0,14.0,103.0,4560.0,121.0,6230,32874.642857142855,37.68595041322314
UCDKogJlTzFcRdMyYFb3KZjw,Vicky Shu,pop,327363.0,683339.0,1699.0,182.0,2792.0,164.0,9260,192.67981165391407,17.024390243902438
UCnLCCQe68LpSPWIwm-Dx14w,Alcatrazz Official,rock,305188.0,589086.0,1707.0,976.0,7784.0,368.0,4720,178.78617457527827,21.152173913043477
UCXs7VmyrfBHw44yduDJ0U7w,LEISURE,rock,1560447.0,5321308.0,9487.0,697.0,37433.0,523.0,22900,164.48266048276588,71.5736137667304
UCUu3CLnqUmc_8kyYZAt6rDQ,wbrnashville,country,173513.0,463520.0,545.0,147.0,2094.0,260.0,5780,318.37247706422016,8.053846153846154
UCNKQVWHxLcKbyJG_-P3emBQ,towatei_channel,pop,,,,,,,0,0.0,0.0
UCON3o22TD7h3hX2spFvbOWQ,Fatal Bazooka Officiel,urban,542076.0,1235744.0,67.0,150.0,9135.0,278.0,72100,8090.686567164179,32.85971223021583
UCme6zy7-Y6cnxKYh6HvLwbw,Mina Caputo,metal,39543.0,106895.0,287.0,46.0,480.0,24.0,3480,137.78048780487805,20.0
UCDafekoVSt9sbipi9bFH_yg,CuckooLander,rock,5109.0,5194.0,62.0,3.0,60.0,6.0,830,82.40322580645162,10.0
UC0-vndvhkXZqTjjodl_LLTg,ZazaFournierOfficiel,pop,106268.0,266934.0,281.0,27.0,839.0,27.0,3000,378.1779359430605,31.074074074074073
UCOQJrPbVvVZhfrXIxEDoGxg,Bananarama Videos,pop,,,,,,,0,0.0,0.0
UCNp7bm10YsCDp4RAyKQrDkg,Jerome Van Den Hole,urban,1515.0,1834.0,18.0,3.0,18.0,1.0,89,84.16666666666667,18.0
UCjYu10yhatNOnpNF-02pO0Q,Norah Benatia,urban,0.0,0.0,2.0,0.0,0.0,0.0,22,0.0,0.0
UCj2B7n23OCnEhcUkPwUAsJA,weashumantv,rock,157464.0,375278.0,1838.0,40.0,2283.0,95.0,18100,85.67138193688793,24.03157894736842
UCGDeDXhtQAE_KEh8B5MtjFw,Warner Music Colombia,latin,49438.0,46897.0,163.0,36.0,448.0,51.0,7000,303.3006134969325,8.784313725490197
UCgT-HrM0_H2LHdo34o-TdRA,Walls,pop,11573054.0,30765594.0,669.0,6243.0,223000.0,2201.0,237000,17299.03437967115,101.31758291685597
UCE3-qhE90QcI2nrLskjIojQ,Michael Calfan,dance,259220.0,529816.0,1886.0,77.0,2848.0,221.0,42200,137.44432661717923,12.886877828054299
UCC1wcYyx5vHHVuCFE1sYazA,Nyno Vargas,urban,56636417.0,149201628.0,82230.0,24510.0,385494.0,19023.0,607000,688.7561352304512,20.264627030436838
UCORbV-zQhekaheFvcrDcBgg,Mixtapes,rock,34987.0,30159.0,167.0,28.0,1037.0,19.0,2030,209.50299401197606,54.578947368421055
UCxx57zbY9EMeKPPpBJ1Bt5A,ToutVaBien,pop,28998.0,59163.0,114.0,17.0,277.0,16.0,1750,254.3684210526316,17.3125
UC5zs1W8-iIni1LR47i5vXcA,attheskylinestv,rock,5241.0,11686.0,32.0,8.0,108.0,3.0,354,163.78125,36.0
UCBQppeNrqfWkgsGGK--raJw,Thom Artway,pop,54119.0,115193.0,244.0,10.0,418.0,40.0,9120,221.79918032786884,10.45
UCEFNzT2RoVqGkV4e3Osyx4A,piso21music,pop,656669342.0,2042977844.0,620147.0,35229.0,2823581.0,104699.0,7380000,1058.8930398760294,26.968557483834612
UCcZsAfdEfN1UwMtoyNMTORw,Kaia Lana,pop,8364090.0,14027569.0,126209.0,4398.0,368572.0,3199.0,125000,66.27173973329953,115.21475461081587
UCPEDmjFev-7xXuV1vTAE7Pw,LiigaMusicOy,urban,7834743.0,21623611.0,3880.0,1273.0,28390.0,2394.0,154000,2019.2636597938144,11.858813700918963
UC6ISn5wC5Zt_rgzsCX81wVw,Pacific,latin,668.0,1236.0,6.0,0.0,16.0,1.0,31,111.33333333333333,16.0
UCdNmSqBXH6xFvNK61i0K-qQ,DOWN,metal,1277074.0,3550957.0,11347.0,413.0,15727.0,640.0,49200,112.54728121970565,24.5734375
UCXzV-iv6cbua5gTyv-vY3Tw,Absofacto,pop,8967990.0,24982198.0,24567.0,1751.0,160011.0,1753.0,145000,365.04212968616434,91.27837992013691
UC2jRBmlh3zG1l2wPXRpA-zQ,Lykke Li,pop,826745.0,1678636.0,3389.0,507.0,28559.0,255.0,9060,243.9495426379463,111.99607843137255
UC9h4PGPRsxAJmYM84k55sDA,Az Chike,urban,4802490.0,8943509.0,9446.0,1960.0,86483.0,2250.0,40100,508.41520220199027,38.43688888888889
UCFvA-BA1RCkRAoqED6iTfQA,goldtyphoonmusichk,pop,15475.0,48458.0,84.0,5.0,62.0,1.0,7320,184.22619047619048,62.0
UC3_wlMNxKBG4c_P39zFH6Hw,KREAM,urban,20730632.0,108612147.0,57361.0,9073.0,323000.0,6618.0,92400,361.4063911019682,48.80628588697492
UCr8NEWXyE_ZT_rdaRhYJFAA,Kazik,pop,0.0,0.0,2.0,0.0,0.0,0.0,3290,0.0,0.0
UC5D88arpFur8ofARcvZM4XA,JFDR,rock,132368.0,327578.0,1452.0,845.0,2502.0,50.0,5540,91.1625344352617,50.04
UCmZF52VN_BTyPeZXGJAy4TQ,oficialbelenmoreno,pop,37068.0,88404.0,141.0,18.0,347.0,19.0,4230,262.8936170212766,18.263157894736842
UC9Pj95_teh76aFkE909z9lA,Suara Kayu Official,pop,7696292.0,19035140.0,54119.0,4193.0,165944.0,1983.0,75500,142.2105360409468,83.6833081190116
UCqNIXmETKXFMjOeVaI9OVOw,Los Secretos,latin,6970559.0,19096385.0,239.0,687.0,27569.0,2151.0,39900,29165.518828451884,12.816829381682938
UCkEbimXpxJ1E-q8VcV9S3tw,Trijntje Oosterhuis,pop,55787.0,107591.0,1758.0,7.0,646.0,22.0,6620,31.733219567690558,29.363636363636363
UCLN-YTnK_48R0ZikVjQs5jQ,CrossroadsGuitar,rock,2428117.0,11249473.0,3640.0,327.0,17115.0,702.0,30100,667.0651098901099,24.38034188034188
UCOnQA6eEYbZciI33OX4sY9Q,NataszaUrbanska,pop,0.0,0.0,1.0,0.0,0.0,0.0,394,0.0,0.0
UC8nidfOKkcgpO6tfc9OSdBQ,OWSLA,dance,123742393.0,216682120.0,253860.0,17413.0,973412.0,103227.0,2280000,487.4434452060191,9.429819717709513
