channel_id,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes
UC7lv9XTLLa3HCBmRTt0Gvnw,157604,372959,355,96,1653,67
UCc1ovgQn_hZFB-TypFOb8lg,135710,358286,710,38,1052,46
UClXta6rWNKUztBhBC9WLQGg,128769,282185,741,448,4147,77
UClAZyJT7MW3YGNyMftTto4w,121836,315200,441,94,2652,52
UCQGihSx8kao0Xix08koIllQ,88381,231252,659,83,1510,55
UCoudsgL2L53Xs3tevwoWW4Q,72981,146843,1184,83,1162,20
UCtYCWZHChPLekVxvWTuJ9gw,50334,130159,289,36,710,9
UClADD1Q5gb6oF1veGjEO77g,31621,56215,118,15,269,21
UC_7YZ0EBzDcXPNhC482NPNA,29203,65973,3085,35,793,19
UCEmEVtPXopGzzVrpmhCXqbg,27610,59987,60,26,561,8
UC4nstdiM_MVHCvC1mYHE3Ew,24545,73619,64,18,157,1
UCujKAgn-LnkF6gEEuOJdHHA,20736,40691,123,13,195,9
UCp-TO3d-bVBUXNw741Jpoag,18396,33577,202,53,477,23
UC9eQx8uWm7R0WdndR6p5kQw,13702,26239,38,10,98,6
UChVT3DCVgE-3aiAqbxYV1Ug,5450,17544,12,0,33,8
UCOne-ZzghFhq3JDDmxMsNkw,4064,6612,52,2,74,6
UCMpXThMkTIBu0Fpn8SXv4VA,4054,4907,11,1,71,1
UCCb-gNJVJlW3MUZU2N97KZw,1025,1921,4,3,13,0
UC-AjTAjvp7J-_QQJSENeZcw,901,1503,3,1,8,5
UC5yzXxPSZF511qvAQRG_I7A,439,684,1,4,2,1
UCAeSmHGp5sf_4SyWb087Tow,360,461,1,0,-1,0
UCXNtLQbLzr31-xARWCw3Vvg,164,240,3,0,5,0
UCme4_N86ALmx6zv4S1w3VHQ,117,237,0,0,0,0
UCCmXcYtA4T9wxc3vmbGFxRA,389352345,1082744041,1028494,145058,4209858,110216
UCv5emLGrYcQAmbpeFVlzjdg,259298930,918575107,328848,52788,1923053,69920
UCePWSQHSdXqzQlzyJfwY1Jg,120302424,469172130,368494,31842,1166884,17542
UCrUlt5TwS6OUD8xpC36EBvw,116180782,214240565,309979,3955,725450,72150
UCn9W4PujTNjq4C_vlOgpyow,111104637,337637399,5370,29723,799119,30061
UCW2D8YiBtwhNslRFKTr9Axw,100001708,349591713,166842,15936,789988,10052
UCNFOCainfQUP0PE2O--j2LQ,62991253,177074152,167453,9157,593346,27132
UCa69AU7FrlpkuYbJSRAKA_w,24323220,48318038,39739,2062,135937,5125
UCp6p4QMnrhszX8rhzgy_q2Q,14082188,36877422,187980,31279,511222,4493
UC9wvnHwKWvE_unCTf1eLKHw,13895812,40749127,108513,3026,67831,4738
UCWWZivJmJJzJGdLI8KeZpjA,8410889,19277669,16701,1692,74313,2632
UCNQa79970Y0E8UhMFK0T2SQ,3850263,7477383,20145,1736,77479,718
UCMJbPdetcLmF7euzH4uLCRQ,3150394,7114150,4887,2032,39010,1473
