channel_id,public_name,genre
UCF7GJjNPB2R_1yGTpIB45jg,Motor Ace Official,rock
UCiS6lByEku_8t8eynNFy-4g,Cate Likes Candy,rock
UCn4ZQ84q-eBbGRUg60At0SQ,ATARI WU,dance
UCIzqmACj6KMcuy0Q06OShcA,Blackfield,rock
UCxq8iLGcQHZPBB2AcWcVh9A,IZAmusic,urban
UCA0_DhKu4732IFjKK4OFVbg,vanilasmusic,pop
UCNlisYk2pbTPSejFqEX0YrQ,Myslovitz,rock
UCr0-gGexvhqXnfNnD1HJCmA,Sandra Bruman,pop
UCygCLsD8jkys_WfVQdhS-KA,TheRightOnsOfficial,rock
UCZ7xwOk5EoC7doN58MQTYsw,Stone Temple Pilots,rock
UC8EgZ1xm4ZFGbt-I0_qlWSQ,The Weepies,rock
UCN5YtRZSu6NFeNKMSQDdMlQ,Marillion,rock
UCp6Rugkg2-yKf50HwtsXsUg,Spinnin' Talent Pool,dance
UCUlYVio1_3uEiTKvhWoq2uQ,Jean-Louis Murat,rock
UChA6VTqciHcYoZxo6R2ESnA,Shooter Jennings,country
UC55F9Nbp6PdURfWobSARxVw,TheVersesMusic,rock
UCXWiKXUu5jGMtcZG3tZYHcA,Antonio Rey,latin
UCBxIPQKReItXWeCqzLzkEGA,Tal Official,pop
UCCXvgrT_uWTvmYwp47lX1mg,Paradize,urban
UC51BZb8LNZW5Sp2ZBirudSg,Bruda,urban
UCRg-hubwld8BEc8Afhn305w,Violents,rock
UC3zY--b8e61Os7LA_vMN25A,VinoPLVEVO,rock
UC_fGK_FJk3vg8V5MVtFXmog,ReN,urban
UCo2fxh7Y0qRdmcZ2qIZ_RTw,Roger Mooking,urban
UCeuZSIikkhiagrFxPJcZ8Bw,Art Of Noise,dance
UCuJLOUiC0IOzoPqvYpf_Pag,Leading Ladies,pop
UCqm2qGjvhw-smS9ONDEn7Fg,Sentidos Opuestos,latin
UC_8nqHZ6PFmjyCpz46Weaxg,mattdukemusic,rock
UCNSfONc2U1BfGV-gIF3ChcA,OC AD,urban
UCOQtOwoXZl76UrVN7pqNfHg,luarnalubre,pop
UCu3XWT_2BMOI69unS2iIBkA,Loso Loaded,urban
UCLMNBVf8so0SbjSeGjxLiOA,Vivi K,pop
UC3PeG6n4MjmhXHjig9np3dA,Revolver,latin
UCEqpHhAN-jdhA6F1Lecd5wg,theswellers,rock
UCtgmOwlyJ0tqz5rrThkjUYg,EVOREVO,dance
UCoNhWLip9Q3NFCDCEtIOLKQ,Heavenstamp,rock
UCh9l0j4KpQczQtNDrZlCJqA,Eagle and the Worm,rock
UC6ZBO3cPNkToPCx5jaoFDzQ,Marlon Oficial,latin
UC3GWgP_PHnsBgIOSsL-Pxqw,Emma Drobná,pop
UCNRYHxv-IKes0nthdfWYNhA,2feetmusic,rock
UCBoTSoL-oglOocfmXEQv8pA,Operatorvideos,metal
UCbu8lQY-MwFNxXHq-q88cIA,Broken World Media,rock
UC3qvvxActLvR87qhM4fbg2Q,The Winking Owl,pop
UCxiyzbjzA6IlV0ROt1GXsRg,joanofarcband,rock
UCIVROfF-b3Wjpk-G1-_ulFw,Billy Talent,metal
UCaYT1AshD7DXrYngBfYjFLA,Kazadi,pop
UC4a3_El94ZJCYZ-QlTuGB7w,grapejuicerecords,rock
UC_oP9EI_H0Fz5mborGXBAiQ,Flavio,pop
UCxpphCszc7JOd8yII2NY-_Q,PonderosaVideo,rock
UCNqqeUSpNXMTWsE0VNGIm2g,Heartist,metal
UCoIhmmonW2dvhlfaHotzsew,KabátTV,rock
UC8112rL9OPORK5ZstuHDrNg,Muniek,rock
UC8gbK8uoqKhlACSeenUPkFQ,neilyoungchannel,rock
UC2q3cOqytgIRDz7Rat8iM1w,The Wild Beyond,rock
UCLpOiHPOitascuyfxt7A-9A,Giovanni James,dance
UCSaqZfWk95MtBuX1mV9hYQw,Midge Ure Orchestrated,pop
UCzIbZKWAK8LzeG6JnsZbv5A,BOYS WORLD,pop
UCFffQdR3wcB_lO5K2r2jphA,NINA SKY,urban
UC2qqSvlpGXXk6Y6-vkaR-rg,KOSTROK Catálogo,dance
UC1veizWI1JKS-OGkysw6v5A,CowgirlsTV,rock
UCGJ5iXR7Y-RvWLCzlVRgv8g,Larry Gatlin,country
UCBGCbkljFbQHm_8w8HFWAKA,B-52s Videos,dance
UC9qDclpoGtztMnaTMM_a4CA,Jenny Lewis,rock
UCEzDdNqNkT-7rSfSGSr1hWg,Burna Boy,urban
UC4UQFLK99sYuG1b8oRd5BvQ,Trivium,metal
UCdMRUaySf3cT27DDC6s2JKQ,Malu Trevejo,pop
UCYNECNTatn3pyhGOdCT-MvQ,Alex Germys,dance
UCpCaouuN4QSTqggIhTyB8KQ,Crankdat,dance
UCqurrJxBoBeBmcqRbIBwbJw,Prelow,pop
UCuTXXAzN-uOQpU9NA-E0kbw,Silas Bjerregaard,pop
UCIXJYY5zQusztPhXqnzlBHw,PLAYLISTYOU LATIN,latin
UCuZ-3S-sYojFwsolvH3UisA,nicozuviria,pop
UCKjGFWtm8Z_ANK_ejXH0kuA,The Abrams,country
UCiyGKNCvFvWldieKA4dQ3zw,Das Pop,rock
UC1HcEUox5K31Zs7jdDcCfIw,Mess of Wires,rock
UCcKWrXwXLJJ2pcJeclFEjnw,DocuDynamics,latin
UCt3XspKWeV4R_dGa-jWVdEg,Darline,pop
UCxm11rMvAIGSBTST_Lsxp-Q,Post Animal,rock
UClPB8yKfVZVk79Lv5GsQHPg,Mirosław Czyżykiewicz,pop
UClc5Eis2-L2JCcN62jmD21w,Ciara,pop
UCm1s2VS9BdyXL9FU4a-W_cQ,Nipsey Hussle,urban
UCyiF87k7RmDIa6BZQHlz97g,India Martínez Catálogo,latin
UCWjbtqwzKQ0WOG_hKMncF3g,WatchTheLonelyForest,rock
UCi9UaJYgO-dc0aiiRWDAakA,Sam Hatmaker,country
UCT3LN2SeSHEEWOGGeU_5vag,Kita Alexander,dance
UCp73ffsOnfY0RZtD3q1HeEw,Dyme-A-Duzin,urban
UCsfv4IrL5Xm0bj9HCWiYKYQ,DropKidOfficial,urban
UCaP-W0X3rp3U1lMedCHybtQ,Ashley McBryde,country
UCOg9jPWX9820Ipd1e__nZeg,DeathByStereoband,metal
UCTPGPRQWdzovgBgcOYIsyXw,OficialAlbertucho,rock
UCJLD33K474ja0jSpuOzMjGA,Neon Trees,rock
UCZ3vZfgvGSw_RtxQHmq_l9w,WhoHurtYou,pop
UCEGJixZ73Cw3Kjy5fWODD3A,splashhband,rock
UCWoybbeuxa4Ig5pfWIu2Abw,Johnson,pop
UCa-xU6FTqf76tL6Iu7kOe7Q,RAES,pop
UClRWQyQlfTiafuRZZ0U8J-Q,Ferret Music,metal
UCjmgpU9OZwB1SZdzg5ngSDg,MemoriaDePezTV,pop
UCjEMe7t4p5YPXqqXRt6h7eA,There Is No Mountain,rock
UC5-gWZXAQqSGVfPHkA7NRiQ,Bebe Rexha,pop
