channel_id,total_subscribers
UCFwM7mqRJQltXEduilGLHYg,95100
UCaC6MYiWVx4oVNLE1FxvEmg,1450
UCIfoB77y20QeFq0aFoOZK6A,61800
UCv9bnG14QgGhDOW_XJtDZ2w,41800
UC5-gWZXAQqSGVfPHkA7NRiQ,8920000
UCrgWiquB-NYsL3O6D-Lm9_A,292000
UClRWQyQlfTiafuRZZ0U8J-Q,26000
UCtxLb_Phhs24njb6sgvKWDA,31300
UCxKITjGwUMNSUvlBa9Rdrzg,25900
UCdC1BdlCfIBgBhjN_yUbL_g,7
UCamMhSytMm91EJthLlq7AMA,311000
UCCfKVjtb-x0RuI37yOJnXLQ,56400
UCNDv67gnz57BqtbNO8fYouA,29400
UCuBdv66Svl2XFqjxz3R8wHA,168000
UCinZCCF3IEnIqu1TrVI63UQ,3330
UCcu_7xdBj7XdNDBCCXhP8gw,2080
UChcrhsMDYCTf8tcMwn2K5-w,817000
UCkw3Wx_MKegD3Jm0hL0X6XA,50400
UCjmgpU9OZwB1SZdzg5ngSDg,804
UCUaRrYUIJWOEvJU539e_HwQ,13800
UCHpXxvLVYtGoFLgj-tmgE3A,5640
UCOUV9PcN3V2B47blEoT1zeQ,480
UCihfR9bbPcwuMS5Y7Uxc5dw,1260000
UCuWg5vxusYL48_bUDuG04tg,13700
UCqVbgXJ9HNWUjT_ChZRSe5w,7610
UC6OXwgKH_Uw9z_nYzIw1Sug,1260
UCvE9U8758ox_muk2_lhHzKQ,5240
UClr_zK3P0GVbA_C-4093niw,545
UCwp9lm0va87m8PiH_LvAFGw,4390
UC2FyrZlHJt7Al48h_99SGJA,18800
UC6lhmm819Eun89ZAE-W4l3A,6800
UCCKVsIqMUuWKsU8BGUnE51A,134
UCarNrkLZREWeBw49EId_SDQ,214000
UC95Qg-xb1eN4dv7bVA6xmeA,97700
UC3UzB1FK530U8mlB87jajaA,49
UCY8XzgmPflzpZEFczdGeIFA,9240
UCW69xyNzQzvCNJ2_vyw8ZiQ,2880
UCrel63rCXl9evptflnKbPcQ,27700
UCyCJIAc8PmAspEy0dbco8eA,22500
UCSKMuccyu8KTXCwRyicA_XA,73
UCgJMQU7JOIoP-YnrhH_P-bA,3870000
UCf2su0Eljvo9Uya9Ha1bhsA,81000
UCC4vxWpMSKdJlUBC9Lw93Tg,37100
UCPgBq_PZP-_mvz6xuPyTRMw,2260
UCkd5zaLO84p9BIW5yZnbtIQ,27400
UCY4OcRVRxoyfu0Y1sZgiufQ,60500
UCpbKDbFjkfkqyDeEDmrLF3Q,366000
UCoNhzD91NebOfKqc0KEZ_Qw,23400
UCXQwejZp8YMTXn5yH0rZp_A,41700
UCx7ARlfVHAGs2Qny_RvJbjw,846
UCjW2tC5sPxJhHIOCG-nMyDA,92
UCGW91-ExDG5HolRaK59L6ng,423000
UCq50wgcgnV72Nd4ioxLAVEg,2200
UC5r25vHHPqBUhNa358-2caQ,84300
UCtTFym1Wq_4OWcm9YJSPw1A,37300
UCzXuo8PGa4AK3Pqj4iIF93A,8950
UCyBggvUMg-gM1XCSKT1wbQQ,110000
UCFZeqNrsp-RjfrgOKkVZm1w,32900
UCoRUmyNL8KEYftmxRA2n3SQ,3650000
UCvxu4PXbmxL7VrtpbSETURg,1630
UCV2qJkJjRLYCtO1iXNxAlDQ,769
UCuHOF18dKq6bl3Sr1Go6VLQ,34200
UCtqQTkNEmCL3Dn1CQ6LZjZw,1070
UCFJWnOaQ2jT-dzC5AGHfU2Q,57
UCWY75uWazCXwtobPO232qAA,328000
UCw22kktxsSIwZs1NkVWhyZA,21800
UCGP155PgD2D9tG8s1SEABnw,6850
UC1sdELOO1CKDJBOJlFtXBVg,89
UCSugZEYrWbzqIWGD195V-YA,4890000
UCfSh6YPv5qf8p2QI-Q9k1QA,86
UCaH7BKgTTW5WIM8wFm2dlSA,151
UCNatCkiamAkinKWB25fUAmQ,87200
UCt27MCKTkEqDyKQxRiimL5Q,433000
UCdb-Qrty_qmM0jNX7lttW2w,5540
UCPmOFVAeEskSYbVd8dVCq8g,45700
UC1qcacefLefHvmNNlZeRynA,194
UC3vULc6NgmB8TT4qo6ENTgw,4
UC8JETzqWNyTnAtwaq0_dl9A,488000
UCfQKBWPoLXnP0gnnyTTN2Wg,14300
UClo_l-QkSM8th3WaUiDjisg,2940
UCkQwWeAJQ0ET787-nNC70PA,177
UCK2a80QPFt-gXrkD0lkQXQA,7140
UCbGkxRgcnFTNNh3FDJOoJHA,293000
UC3R5UkoYFxLC37ek0YRkrDw,69200
UCGyTHChIrC1PDTjs2lr_v3w,33
UCF2FLRdp7sG7VlHPZ_SN3wQ,3710
UCueyXRvwZy-kOgQ4iQ6k9Aw,73
UC1ZB-YzrmN2gw-wM5uybFrw,57
UCVnuykyr2bytPGEaSLSfxcg,0
UC0ixS0vQvu2oskzHdmjoadw,5030
UCHu-c0aQ5GZT_jytQZvCoUw,4470
UCxEbyGgpkDAgmidshWMZXiA,6820
UC6DEW8WJAz1T-qESPDfooRQ,339000
UCXPNfRD_NtY_7F9ZBUy_3Rw,103000
UCX4hKNlViKmjLJhZcd6CkOA,69
UCpo-kpPMRkTzoMK31LgRPmg,8520
UClHlt_Fl6LeyummgDk7-BVw,13200
UCuzQ80bq1o0d20Dn70j4xsA,831
UCBDbvGJCXEffPNh7RyMYTGQ,2090
UCAWcTQlPfFaoZSVLiK8afOg,162
UCVV0m2FyZcOVIxWvycEhVVA,17400
UCJ16f9U5vAqK0H_XxnA03QA,86
UCamXysYHSo5ni82XjrlI7Mg,1590
UCLteo8WLkQSuQhBOuD5HOZQ,171
UCoQJcz3rOY-CbzM-t4CRioQ,158000
UCiVLSJ2MpNteP1oLYfu0VTw,106000
UCVWcLFr8a-ZsobHlVZPKCDA,1160
UCiNhPakx9VPiWHrRVk1jPQA,92600
UCdWWMWdMyzheIyRsMxwbVEQ,41500
UC11pqmcvi8f6GdntAcvA7dg,4690
UCHQzyxUB4CzJ6j_5Qggqb9w,302
UCJePQ8lQi2HKNfnvwMmXhmQ,0
UCSuEx43CkHhw1NldDxLxB9Q,1500
UCO4idQrqeagVzzvl8v5h5Ag,23
UCOa160TMShGFq0C0eNNHTmQ,17700
UCJnw4bTwCbEyw8Q_VDHIgqg,7760
UCpwZ4mD9ZI-6-I6zb32n6eA,1180
UCTaGAZrJk6Y5QtafxAXKK1g,364
UCLM67XLcvP74yKksJOVb9wQ,22900
UCyIU6uSJVxLnlbV1l_PrvSA,2730000
UCkV5xKZTOtQ2N_aIMRLJR1Q,68400
UC6voWVsvNB6eEAffBRjikiA,25300
UC2gMECGMn5TVbRN5S5tKb8Q,6200000
UCr4ub8Buon9OO565g5IsaMA,21100
UCk4R6XW6Wcl3TQFLlvr28Yw,14200
UCdvVM4jBnmAfvdFTrFHztiw,1350
UC7N12swobgpECWEjhi4zm0w,314
UCKb-QotIdnfF9Lgm6sG3CbQ,91
UCBOyyqXdux-l7Q5bx8mvRxg,5540
UCactROsC5RQMUQku8E2xGGA,180
UCnULPlEo9YWkhGR9kWaQYww,969
UCOzAHnYUNftl7OXW5KAU2EQ,1120
UCODetjdmLtRqeT0c_hvqyVw,157
UCayA0Z534jVutFaUeQ8AbTg,3680
UC1tTNrhhmueBLmaSIH10Z4A,1120
UCmlj__nBD3bd_ypnRNVu2gw,21200
UCpqkfDglatZKrpVrgWiUtGw,92
UCF2z_ZFQdouHeQlVqPKPLWQ,63000
UCU5-gTdEOOrRShhRjUHyY9g,9580
UCwld2avTZl_nxG2zOz0_Ihw,1830
UCBUEnHKNLuoZgYExM0CbJdQ,4430
